"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Union College",18,17,18,19,18,19,19,19,19,19,19,20,20,19
"University of Wisconsin-Green Bay",18,18,19,20,20,21,20,21,21,21,20,20,20,21
"University of New Orleans",18,20,20,20,20,20,21,21,20,19,20,19,20,20
"Blue Mountain College",18,18,19,18,18,18,18,18,,18,,,,
"Tuskegee University",18,18,17,18,21,18,21,18,17,17,17,16,17,17
"Cleveland State University",18,19,19,19,19,19,19,19,19,18,18,17,17,16
"Tusculum University",18,18,18,17,18,18,19,18,18,19,19,19,19,18
"Troy University",18,18,18,18,18,19,19,18,18,17,18,17,17,17
"West Texas A & M University",18,17,19,19,18,18,18,19,18,18,18,18,18,18
"Black Hills State University",18,18,18,18,19,19,18,19,18,19,19,18,19,18
"University of Pittsburgh-Bradford",18,17,20,20,19,18,19,19,19,18,19,17,18,19
"University of Alaska Fairbanks",18,17,18,17,19,18,,,,,18,17,18,18
"University of Nebraska at Omaha",18,19,19,19,19,19,19,20,19,20,20,20,20,20
"Trinity Bible College and Graduate School",18,17,17,17,17,17,18,,,,,,,
"Western Illinois University",18,18,18,18,18,18,18,18,18,18,19,19,19,19
"Wesleyan College",18,17,18,21,19,,,17,17,18,18,20,19,19
"Belmont Abbey College",18,19,19,18,18,19,18,18,20,19,20,,17,18
"University of South Carolina Aiken",18,17,17,18,18,18,18,18,18,18,18,18,18,18
"Anderson University",18,20,19,19,19,21,21,21,21,20,22,21,20,20
"University of Arkansas at Little Rock",18,19,18,19,19,18,20,20,19,19,,,,
"Chaminade University of Honolulu",18,19,20,19,19,19,19,19,19,19,18,17,17,18
"Colorado State University Pueblo",18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Beckfield College-Florence",18,18,,,,,,,,,,,,
"Central Methodist University-College of Liberal Arts and Sciences",18,19,20,20,20,20,20,19,19,20,19,19,19,19
"University of the Ozarks",18,18,19,18,19,20,20,20,20,20,19,20,19,20
"Central Baptist College",18,17,16,18,19,18,19,18,19,19,20,19,18,15
"Baptist Health College Little Rock",18,18,18,19,18,21,19,19,19,20,19,18,19,21
"University of Virginia's College at Wise",18,18,18,17,18,17,17,17,17,17,16,17,17,16
"Avila University",18,19,19,19,19,18,20,20,20,20,20,20,20,19
"California Baptist University",18,18,19,19,19,17,18,18,18,18,19,20,18,17
"Crown College",18,18,18,18,19,19,19,18,19,21,20,19,16,19
"Lake Erie College",18,,17,18,18,19,18,19,19,19,17,18,18,17
"Tabor College",18,17,18,18,18,19,20,18,19,19,19,19,19,18
"Florida College",18,20,20,18,20,19,20,20,19,17,20,19,19,20
"Rutgers University-Newark",18,19,19,,,,,,,,,,,
"Mount Saint Mary's University",18,17,17,16,17,16,15,16,16,17,17,17,,
"Saint Cloud State University",18,18,18,18,18,19,19,19,19,19,19,19,19,19
"Ferris State University",18,18,19,19,19,19,19,19,19,19,18,18,18,18
"Saint Xavier University",18,19,19,19,19,19,19,19,20,20,20,20,20,20
"Huntington University",18,18,19,20,18,19,20,21,21,21,20,20,21,20
"Sam Houston State University",18,19,19,19,19,19,19,19,19,19,18,19,17,18
"Faulkner University",18,18,18,18,18,18,,,,17,18,18,18,18
"San Diego Christian College",18,17,16,16,17,17,19,19,18,19,18,19,17,18
"Fairmont State University",18,18,18,18,18,18,18,18,18,18,18,19,18,18
"Hope International University",18,16,19,17,18,16,17,17,17,18,20,19,21,18
"Missouri Southern State University",18,18,18,19,18,19,18,18,18,18,18,19,19,17
"Indiana University of Pennsylvania-Main Campus",18,16,17,17,17,17,17,17,,,,,,
"Indiana University-East",18,17,17,18,18,18,18,18,18,18,17,17,18,17
"Emory & Henry College",18,18,18,19,19,18,18,18,19,21,18,19,19,20
"Emmaus Bible College",18,18,19,19,20,20,19,,,,,,,
"Minot State University",18,17,18,19,18,19,20,19,20,19,19,19,20,17
"Shorter University",18,18,18,17,18,18,17,18,18,18,18,18,17,17
"Sierra Nevada University",18,18,18,19,18,18,18,,,19,19,20,16,20
"Indiana University-South Bend",18,17,17,18,18,18,17,18,18,19,17,17,17,17
"Midway University",18,19,19,18,18,,,19,18,18,18,18,18,
"Midland University",18,18,18,18,19,18,17,18,19,20,19,18,18,19
"Methodist University",18,17,18,18,17,17,18,18,17,17,18,18,17,18
"Missouri Baptist University",18,19,19,18,18,18,19,19,19,19,19,19,19,19
"Holy Family University",18,18,18,,,,17,16,18,,19,17,19,19
"Roosevelt University",18,21,21,20,19,19,20,19,20,19,19,20,19,19
"Rocky Mountain College",18,19,20,20,20,20,19,19,20,21,20,17,20,19
"Ottawa University-Surprise",18,17,15,,,,,,,,,,,
"Ottawa University-Ottawa",18,17,17,18,,,,19,,18,19,,18,19
"Wilmington College",18,18,18,19,18,19,18,19,18,18,17,18,18,18
"Old Dominion University",18,18,18,18,18,18,18,18,18,18,18,18,18,19
"Tarleton State University",18,18,18,18,18,18,18,19,18,18,18,18,18,18
"Williams Baptist University",18,18,17,18,18,19,19,19,19,19,19,19,19,19
"Oklahoma Wesleyan University",18,18,16,18,18,18,18,18,18,18,,,,
"Ohio Valley University",18,17,18,18,18,,17,19,19,18,19,18,19,17
"Point Park University",18,19,20,19,19,19,19,19,20,20,19,19,19,19
"Grand View University",18,17,18,18,18,18,18,19,18,19,18,18,18,18
"William Peace University",18,18,18,17,16,15,16,16,17,18,14,16,17,15
"Gwynedd Mercy University",18,17,18,17,16,18,18,16,18,17,,,17,
"Georgia Southern University",18,20,21,22,22,21,22,21,21,21,21,21,20,20
"Gardner-Webb University",18,19,18,19,18,18,19,19,18,18,18,17,19,18
"Randall University",18,18,17,17,17,15,18,18,16,17,17,17,16,16
"Randolph College",18,19,18,19,20,19,20,21,20,20,21,21,,23
"North Greenville University",18,19,21,19,20,20,22,21,21,20,21,21,18,17
"Friends University",18,19,18,19,19,19,19,18,18,19,19,19,19,17
"North Central University",18,18,19,17,19,19,20,19,19,19,19,18,18,19
"Hardin-Simmons University",18,18,18,18,19,19,20,20,20,20,20,19,19,19
"Rhode Island College",18,16,16,15,16,16,16,17,17,16,17,18,17,
"Worsham College of Mortuary Science",18,,,,,,,,,,,,,
"Ripon College",18,19,20,20,21,21,21,21,21,22,22,20,21,21
"Wright State University-Lake Campus",18,18,18,18,19,18,,,,,,,,
"Wright State University-Main Campus",18,18,18,19,18,19,,,,,,,,
"Edinboro University of Pennsylvania",18,18,17,17,16,17,16,17,17,17,16,16,16,16
"Mercy College of Ohio",18,18,,,,,,,,,,,,
"Wilson College",18,19,18,21,20,18,20,19,18,19,16,18,21,20
"Longwood University",18,17,18,18,18,18,19,19,19,20,21,21,21,
"John Paul the Great Catholic University",18,21,20,20,22,22,21,20,,,,,,
"Marion Military Institute",18,18,19,19,19,19,19,18,19,19,18,18,18,
"Dillard University",18,19,,18,18,17,17,17,16,16,16,15,16,16
"Southwestern Oklahoma State University",18,18,18,18,18,18,19,18,18,18,18,18,18,18
"Eastern Illinois University",18,18,18,18,18,19,19,19,19,19,19,19,19,19
"Mercy College",18,17,,,,,,,,,,,,
"Delaware Valley University",18,18,19,19,18,18,18,19,19,20,20,20,20,21
"Louisiana College",18,18,19,19,18,18,18,18,17,17,17,16,17,16
"SUNY College at Plattsburgh",18,19,21,21,21,21,20,20,20,20,20,20,20,19
"Dakota Wesleyan University",18,19,19,20,19,18,18,19,18,17,18,18,19,18
"Lees-McRae College",18,,,,,,,,18,19,19,19,18,18
"Kentucky Wesleyan College",18,20,19,19,18,20,19,19,19,19,19,19,19,18
"Louisiana State University-Alexandria",18,17,18,18,18,18,19,18,19,19,19,18,18,
"Johnson University",18,19,20,19,18,19,19,19,19,20,19,20,19,23
"Summit Christian College",18,,18,18,18,17,17,,15,17,14,19,15,19
"East Central University",18,17,18,18,17,18,19,18,18,18,17,18,18,18
"John A Gupton College",18,18,6,1,12,18,,,,,,,,
"Judson College",18,17,17,18,19,19,,19,18,19,18,19,19,17
"Life University",18,15,16,17,17,,,,,16,17,18,18,18
"Delta State University",18,18,18,18,19,18,18,18,18,18,17,17,18,17
"McMurry University",18,18,18,17,18,16,16,18,18,17,17,17,17,18
"Lancaster Bible College",18,18,20,20,19,19,18,16,18,19,19,18,17,19
"Sterling College",18,18,17,18,18,19,18,19,19,19,19,18,18,18
"McKendree University",18,19,20,19,20,19,20,20,20,19,19,19,19,21
"Mayville State University",18,18,18,18,18,,,,,,,,,
"Stephen F Austin State University",18,19,18,18,19,19,19,19,19,18,18,18,18,18
"Jacksonville State University",18,18,19,19,20,20,19,19,19,18,17,17,17,16
"Southern Oregon University",18,18,19,20,19,19,20,,19,19,,,19,20
"Culver-Stockton College",18,18,18,18,18,18,19,18,18,18,19,19,18,18
"Youngstown State University",18,18,18,19,18,18,18,,,,,,,
"Jacksonville University",18,18,21,21,,,,19,20,20,19,19,18,18
"Mary Baldwin University",18,18,18,19,18,19,19,18,19,19,17,18,20,18
"SUNY Morrisville",18,17,17,18,17,17,18,17,20,17,22,18,,
"Southern Wesleyan University",18,17,18,,,,,15,20,20,18,18,17,17
"Augsburg University",17,18,19,19,19,19,20,20,23,20,19,19,19,20
"Northeastern State University",17,18,18,19,19,19,19,18,18,18,18,18,18,18
"Young Harris College",17,18,18,20,18,18,,18,,,,,,
"University of New Mexico-Main Campus",17,19,19,19,19,19,20,19,19,19,19,19,19,19
"Jackson State University",17,17,17,17,17,17,17,17,17,17,16,16,16,17
"Greenville University",17,18,18,19,18,19,20,19,19,19,20,19,20,19
"Northwestern State University of Louisiana",17,19,19,19,19,19,20,19,19,19,18,18,18,18
"Oak Hills Christian College",17,14,16,4,16,18,18,16,16,19,17,15,17,18
"Lewis-Clark State College",17,16,17,17,18,18,17,18,18,17,17,17,17,17
"Guilford College",17,17,,,,,,20,21,21,20,21,21,20
"Brenau University",17,17,17,17,19,19,,19,,,,,19,19
"Arizona Christian University",17,15,17,15,18,19,19,20,19,19,20,17,,
"Winston-Salem State University",17,16,16,16,17,17,16,16,16,16,15,15,16,16
"Bridgewater College",17,18,18,18,20,20,21,20,19,20,18,19,18,18
"Angelo State University",17,17,17,17,18,18,18,18,18,18,18,17,17,17
"Kutztown University of Pennsylvania",17,18,18,18,18,17,17,18,17,17,17,18,18,18
"La Roche University",17,17,16,18,17,17,16,17,18,17,17,16,15,15
"Waldorf University",17,17,17,18,18,18,17,19,18,16,18,18,18,18
"Governors State University",17,17,16,17,17,17,17,,,,,,,
"Lamar University",17,17,18,18,18,18,18,18,16,17,16,16,16,16
"Northwestern Oklahoma State University",17,17,17,17,18,18,18,17,17,17,17,17,18,18
"Bluefield State College",17,16,17,17,17,17,17,17,17,17,16,16,17,16
"Blackburn College",17,18,18,18,18,19,18,19,19,18,18,19,18,20
"University of North Carolina at Pembroke",17,17,17,18,18,18,18,18,17,17,16,17,16,16
"Barton College",17,18,17,18,17,18,17,18,16,18,17,16,17,16
"Iowa Wesleyan University",17,19,19,18,17,18,18,19,18,18,17,17,15,16
"University of the Incarnate Word",17,17,17,17,17,18,18,18,18,17,18,17,16,17
"Indiana University-Southeast",17,17,17,17,17,18,18,17,18,18,17,18,18,17
"Indiana University-Northwest",17,17,18,17,18,17,17,17,17,16,16,16,16,16
"Massachusetts College of Liberal Arts",17,18,19,19,20,21,19,20,19,19,20,20,20,
"University of West Alabama",17,18,18,18,18,18,19,18,18,18,18,17,15,16
"Cabarrus College of Health Sciences",17,19,20,19,20,19,20,21,18,19,19,19,19,19
"University of West Georgia",17,18,18,18,18,18,18,18,18,19,18,18,18,18
"University of South Carolina Beaufort",17,17,17,17,18,17,17,18,18,17,18,17,18,16
"Adams State University",17,17,17,17,17,17,17,17,18,17,17,17,17,17
"Marian University",17,17,17,17,17,17,17,18,17,18,17,18,18,18
"Immaculata University",17,18,21,17,18,20,17,18,17,16,,17,19,
"Manhattan Christian College",17,17,19,18,19,19,19,20,,,,,,
"Valley City State University",17,18,18,18,18,18,19,18,18,18,18,18,18,18
"University of Wisconsin-Parkside",17,17,18,18,18,18,19,19,18,18,18,18,17,18
"Madonna University",17,18,19,19,18,20,19,19,,20,20,20,20,20
"University of Saint Katherine",17,17,17,,,,,,,,,,,
"Montreat College",17,17,18,17,18,18,18,17,18,18,19,18,18,
"Mount Carmel College of Nursing",17,18,19,19,19,19,20,20,20,20,20,19,8,16
"Mount Marty University",17,18,18,19,18,19,19,20,19,19,19,19,18,19
"Bethany College",17,18,18,18,18,18,18,18,18,19,20,19,19,18
"Bethel College-North Newton",17,18,18,,,,19,19,20,20,21,20,21,21
"Johnson University Florida",17,17,16,17,18,17,17,17,18,17,,,14,
"Judson University",17,19,19,19,19,21,20,18,21,21,20,,,
"Lourdes University",17,17,18,18,18,18,18,,,,,,,
"Hawaii Pacific University",17,18,19,20,,,,19,18,18,18,18,17,17
"New Mexico State University-Main Campus",17,18,17,18,18,18,18,18,18,18,18,18,17,17
"North Carolina A & T State University",17,17,17,17,18,17,17,17,17,16,17,16,15,15
"West Liberty University",17,17,17,17,18,18,18,18,18,18,18,17,17,17
"University of Saint Mary",17,18,19,19,19,19,19,19,19,18,19,18,19,18
"University of South Carolina-Upstate",17,17,17,17,18,18,18,19,19,18,18,19,19,18
"California State Polytechnic University-Humboldt",17,17,18,18,18,18,18,18,18,19,19,18,19,19
"Rutgers University-Camden",17,18,17,,,,,,,,,,,
"Dickinson State University",17,18,18,18,18,18,18,18,18,16,,,,
"St. Francis College",17,17,,20,18,17,,,,,,,,
"Eastern New Mexico University-Main Campus",17,17,17,16,17,17,17,17,17,17,17,17,17,16
"The University of Tennessee Southern",17,17,18,18,,,,,,,17,17,,
"Concord University",17,17,18,18,18,19,19,18,17,17,18,17,14,18
"Saint Martin's University",17,17,18,18,20,21,20,19,19,19,16,17,19,19
"Felician University",17,15,15,17,16,15,15,15,14,14,17,16,,
"Columbus State University",17,18,18,18,17,17,18,19,18,17,17,17,17,17
"Columbia International University",17,18,17,17,20,20,18,19,20,20,20,20,19,18
"Central Washington University",17,17,17,17,18,17,18,18,18,18,18,18,18,18
"University of Bridgeport",17,19,16,18,18,18,16,18,18,17,,,,
"Salem College",17,16,21,23,22,21,21,22,21,19,22,22,20,20
"Columbia College",17,,,17,18,18,20,20,19,19,19,18,18,18
"Wheeling University",17,18,19,19,18,20,20,20,21,20,20,20,20,19
"Catawba College",17,17,18,18,18,18,,,18,,18,19,18,19
"University of Akron Wayne College",17,,,,,,,,,,,,,
"The University of Texas Rio Grande Valley",17,17,17,17,18,17,18,18,18,17,17,17,16,16
"Southwestern College",17,18,18,18,18,19,19,20,19,19,19,19,19,19
"Cabrini University",17,19,,19,19,,18,17,17,17,,,,16
"Clark Atlanta University",17,17,18,17,18,16,16,17,17,18,18,18,17,15
"Elmira College",17,21,,,,,21,20,21,24,22,23,23,23
"Thiel College",17,15,15,17,16,17,19,18,18,18,18,17,17,16
"Union College",17,17,18,17,18,18,18,19,18,19,17,17,17,17
"Alderson Broaddus University",17,16,18,18,18,19,19,19,19,19,19,19,19,18
"Sonoma State University",17,17,18,19,19,19,18,19,19,20,20,19,19,19
"Southwestern Adventist University",17,17,16,18,17,17,16,17,,,16,19,18,
"College of Mount Saint Vincent",17,18,18,18,17,18,19,17,16,20,,,,
"Truett McConnell University",17,17,17,18,18,18,18,17,17,16,15,15,16,15
"Southwest Minnesota State University",17,18,17,18,18,19,19,19,19,19,19,19,19,18
"Southeastern Oklahoma State University",17,18,18,18,18,18,18,18,18,18,18,18,18,18
"Schreiner University",17,17,18,19,19,19,19,19,19,19,18,18,18,18
"Delaware State University",17,16,17,17,17,17,17,16,16,16,15,15,15,14
"Trinity Baptist College",17,16,15,16,16,15,16,14,15,15,16,17,16,18
"California State University-Sacramento",17,16,16,17,17,17,17,17,17,17,17,18,18,17
"Texas A & M University-Kingsville",17,17,17,17,17,17,17,16,16,15,16,16,14,
"Texas A&M University-Texarkana",17,19,19,19,20,19,16,19,19,18,,,,
"SUNY College of Technology at Canton",17,18,17,17,17,,,,,,,,,
"University of La Verne",17,19,20,19,20,20,20,20,19,18,18,17,18,18
"Presentation College",17,17,18,18,18,18,18,18,17,17,19,17,17,16
"Point University",17,16,16,16,17,17,17,18,,17,18,15,16,17
"Coppin State University",17,15,16,16,15,16,,,,,,,,
"Frostburg State University",17,17,17,17,18,17,18,18,18,17,17,17,17,17
"California State University-Monterey Bay",17,17,17,18,,,,18,18,18,18,18,17,17
"Texas Southern University",17,15,15,15,15,15,15,15,15,15,13,13,,
"Defiance College",17,17,17,18,18,19,18,18,18,18,19,19,18,18
"The Baptist College of Florida",17,15,17,17,17,17,17,20,18,17,17,16,16,17
"Portland State University",17,18,18,19,19,19,19,,,,,,,
"Georgian Court University",17,19,17,17,17,,,,,,,,,
"West Virginia State University",17,17,17,17,17,17,18,18,18,17,16,16,16,16
"California University of Pennsylvania",17,17,17,16,16,17,17,17,,,,,17,17
"University of Dubuque",17,17,16,16,17,17,17,17,18,18,18,18,17,18
"Rochester University",17,17,17,16,18,17,18,18,19,18,18,19,,
"Texas A & M University-Commerce",17,18,17,18,18,18,17,18,18,18,16,17,17,16
"Corban University",17,19,20,21,20,21,18,20,19,20,20,19,19,20
"Pacific Union College",17,17,18,18,17,18,19,18,18,18,18,16,17,
"Florida School of Traditional Midwifery",17,,,,,,,,,,,,,
"Cardinal Stritch University",17,18,18,18,18,20,19,20,19,19,20,19,19,19
"California State University-San Marcos",17,17,17,18,18,18,17,18,18,17,18,18,18,17
"Fontbonne University",17,18,18,20,20,20,20,21,20,20,20,19,18,18
"Alice Lloyd College",16,18,18,18,18,19,19,18,18,20,18,18,17,18
"Southwestern Assemblies of God University",16,17,17,17,19,18,,,,,,,,
"Southern University and A & M College",16,17,17,17,20,17,17,17,17,17,17,15,16,16
"University of Washington-Tacoma Campus",16,16,16,18,17,16,18,17,18,18,16,16,16,
"Criswell College",16,18,17,,,,,,,,,,,
"Lander University",16,17,17,17,17,17,17,18,17,18,18,18,17,17
"Western Oregon University",16,17,,,17,17,17,,,16,17,17,17,17
"Eastern Nazarene College",16,17,17,18,20,18,15,17,18,20,16,20,17,18
"Converse University",16,16,20,20,20,20,20,21,20,19,20,20,20,21
"Mansfield University of Pennsylvania",16,16,17,17,18,17,17,19,,,18,17,17,
"SUNY College of Agriculture and Technology at Cobleskill",16,17,,17,20,16,16,16,20,18,20,19,20,
"The University of Texas Permian Basin",16,17,17,17,18,18,18,19,19,19,18,18,18,19
"Wayland Baptist University",16,16,16,17,16,16,17,17,17,16,18,17,17,18
"Texas Woman's University",16,16,17,17,17,17,17,17,17,16,19,18,18,18
"Abraham Baldwin Agricultural College",16,17,17,17,17,17,17,16,13,17,,,,
"Spalding University",16,17,18,18,18,18,18,18,18,16,19,16,15,17
"East Stroudsburg University of Pennsylvania",16,17,19,20,19,18,18,18,,,,,,
"Kean University",16,17,17,16,17,17,15,,,,,,,
"The University of Montana-Western",16,17,17,16,,,,,,,,,,
"Life Pacific University",16,15,16,16,16,16,16,17,18,16,19,17,16,18
"St. Thomas University",16,16,16,18,17,17,17,16,17,16,16,16,16,16
"Kentucky Christian University",16,17,17,18,18,19,18,18,18,18,17,17,17,17
"Colorado State University-Global Campus",16,18,,,,,,,,,,,,
"Bushnell University",16,18,18,17,17,19,17,18,19,20,20,20,18,21
"Andrew College",16,14,14,15,,,17,15,15,15,14,14,14,14
"Southeastern Baptist College",16,,,,,,,,,,,,,
"Neumann University",16,16,16,15,17,17,15,16,17,16,,,,
"Castleton University",16,18,18,17,17,18,18,17,18,18,17,17,18,
"University of North Texas at Dallas",16,16,16,16,17,16,16,,,,,,,
"Rockford University",16,18,19,19,19,19,19,19,18,18,20,19,18,19
"Fort Lewis College",16,17,18,20,19,19,19,20,19,20,20,19,18,18
"Fresno Pacific University",16,16,17,18,18,19,19,18,19,18,18,18,17,17
"University of Hawaii at Hilo",16,17,17,17,18,16,17,19,18,18,17,18,19,17
"California State University-Northridge",16,16,16,17,16,16,16,16,16,16,16,16,16,15
"University of Hawaii-West Oahu",16,16,16,16,,,,16,16,15,15,17,,
"Bowie State University",16,16,,16,15,15,15,17,16,17,,,,
"Oakland City University",16,16,16,18,18,17,18,19,16,18,18,17,17,18
"California State University-Fresno",16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Prairie View A & M University",16,16,16,16,15,16,16,15,15,15,15,15,17,16
"University of Mount Olive",16,16,17,17,17,17,16,17,15,17,16,,,
"Greensboro College",16,16,16,17,17,16,16,15,17,17,16,16,17,16
"Pfeiffer University",16,16,17,16,17,17,17,18,18,19,17,17,18,17
"University of Maryland Eastern Shore",16,16,15,16,17,15,15,16,16,16,15,14,15,14
"Caldwell University",16,17,17,17,18,18,17,16,17,17,,17,17,
"Gordon State College",16,15,15,15,15,15,16,15,16,15,,,,
"Hiram College",16,18,18,18,19,20,18,19,20,19,19,20,20,20
"Trinity College of Florida",16,16,15,16,15,16,,,,,19,16,14,20
"Rosemont College",16,16,16,16,16,15,23,19,18,,,,,
"Eureka College",16,17,17,19,19,19,19,19,19,19,19,19,20,19
"Eastern Washington University",16,17,17,17,17,18,17,18,18,18,17,18,18,18
"College of Coastal Georgia",16,17,17,16,16,17,18,17,17,,,,,
"Mid-Atlantic Christian University",16,15,16,18,17,16,18,14,14,16,18,21,19,14
"Alcorn State University",16,16,17,17,16,16,16,16,16,16,16,16,16,16
"Midwestern State University",16,17,17,18,18,19,19,19,19,20,18,19,19,18
"Coker University",16,18,17,17,18,18,18,18,17,18,18,17,18,
"University of South Carolina-Sumter",16,15,15,16,17,17,17,17,17,16,17,17,17,16
"Claflin University",16,15,17,14,18,15,15,15,15,16,,,,
"University of South Carolina-Lancaster",16,15,15,16,15,15,15,14,15,14,14,15,15,15
"Erskine College",16,17,18,19,20,18,18,19,20,18,23,20,21,22
"Appalachian Bible College",16,18,18,19,17,19,18,20,19,18,16,17,19,17
"San Francisco State University",16,17,17,18,18,18,18,19,19,19,19,18,18,17
"Fayetteville State University",16,17,18,17,17,17,17,17,15,15,15,15,15,
"Morgan State University",16,16,16,16,16,16,16,16,16,16,16,17,16,17
"Saint Mary-of-the-Woods College",16,17,16,18,17,19,17,15,18,19,20,18,19,18
"University of Redlands",16,23,23,23,22,22,22,23,22,22,22,22,22,21
"University of Providence",16,16,,,,,,,,,,,,
"Bethany College",16,16,17,17,17,17,17,17,16,17,18,18,18,19
"Mount Mary University",16,16,16,17,18,17,17,17,17,17,16,17,18,17
"Bethel University",16,16,16,16,17,17,17,17,18,16,17,17,17,17
"York College",15,17,18,18,17,18,18,17,17,18,18,18,18,17
"Albany State University",15,14,15,,17,17,17,17,16,16,17,17,17,16
"Alabama A & M University",15,15,16,16,16,16,15,15,16,16,16,16,16,16
"Yellowstone Christian College",15,,,,,,,,,,,,,
"Norfolk State University",15,15,16,17,16,15,16,16,17,17,17,16,17,17
"Tougaloo College",15,15,16,16,16,15,15,15,15,15,24,25,21,20
"Graceland University-Lamoni",15,18,18,18,18,18,18,18,18,18,18,21,18,18
"Texas A & M International University",15,16,16,16,16,16,17,16,16,16,15,16,15,14
"Sul Ross State University",15,15,,16,16,15,16,15,15,,,,,
"Southern University at New Orleans",15,15,15,15,16,15,15,15,17,17,,,,
"Missouri Valley College",15,16,16,,,,,18,17,17,17,17,17,18
"Our Lady of the Lake University",15,17,17,17,18,17,18,14,16,16,16,17,17,17
"Elizabeth City State University",15,16,17,16,17,17,17,16,16,15,15,14,14,15
"Shippensburg University of Pennsylvania",15,16,17,18,18,18,17,18,17,17,,,,
"Savannah State University",15,16,21,16,16,16,16,16,16,,,,16,16
"Ferrum College",15,16,17,15,15,15,16,14,16,16,16,16,16,14
"Paine College",15,14,14,14,14,14,14,14,14,14,14,14,9,14
"Lincoln University",15,16,16,16,15,15,16,15,,16,15,15,,15
"Prescott College",15,,,19,21,19,20,22,22,21,19,20,21,21
"Saint Elizabeth School of Nursing",15,,15,,,18,19,,,,22,17,19,19
"Grambling State University",15,16,16,,16,16,16,16,14,16,16,17,15,
"Chicago State University",15,16,16,16,16,16,16,17,17,16,16,18,18,18
"Nyack College",15,16,17,17,18,16,19,17,17,17,17,17,18,18
"North Carolina Central University",15,17,17,17,17,17,17,16,15,15,15,14,14,15
"Virginia State University",15,15,15,15,15,15,15,15,16,16,,,,15
"VanderCook College of Music",15,13,21,21,20,22,20,24,20,19,19,19,20,18
"Averett University",15,16,16,17,16,17,16,17,16,17,17,15,16,17
"Bacone College",15,13,14,15,15,15,16,15,16,16,16,16,14,15
"Newberry College",15,16,17,17,17,18,17,17,16,18,17,17,18,18
"University of South Carolina-Union",15,14,14,15,15,15,14,14,13,13,14,15,13,15
"Centenary University",15,15,17,19,15,17,16,18,17,16,16,15,20,16
"North Carolina Wesleyan College",15,15,15,16,16,16,15,15,15,15,16,15,16,16
"Francis Marion University",15,16,17,17,17,17,17,17,17,17,18,18,18,18
"Bethune-Cookman University",15,15,,,,,15,15,13,16,16,18,15,14
"Bloomfield College",15,14,16,15,16,15,13,,,,,,,
"La Sierra University",15,16,17,16,16,16,16,17,16,16,17,18,17,17
"Kentucky State University",15,18,15,17,17,17,16,16,15,16,15,15,15,14
"California State University-Los Angeles",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"California State University-San Bernardino",15,15,16,16,16,16,16,16,16,16,16,15,16,16
"Cazenovia College",15,,,,20,,,,19,,,,,
"Northeastern Illinois University",15,15,15,15,16,16,16,16,16,17,16,16,16,16
"Huston-Tillotson University",14,14,14,16,13,14,14,13,14,14,14,14,14,14
"Paul Quinn College",14,15,13,14,12,14,19,13,14,18,11,8,8,8
"Gallaudet University",14,14,15,15,14,16,15,15,15,15,15,15,14,14
"South Carolina State University",14,15,15,15,14,14,15,17,15,15,15,15,15,15
"Wilberforce University",14,15,14,14,15,14,13,,,,,,,
"Saint Louis Christian College",14,14,20,16,14,18,18,18,17,17,17,,15,19
"Alabama State University",14,15,16,16,15,16,16,15,15,14,15,14,14,14
"Edward Waters University",14,15,15,15,15,14,15,15,15,14,14,,,
"Thomas University",14,,,,,,,,,,,,,
"Chowan University",14,14,14,14,14,14,14,14,14,14,15,15,15,14
"University of Arkansas at Pine Bluff",14,16,16,16,16,16,16,15,14,15,14,14,14,14
"University of Science and Arts of Oklahoma",14,19,19,19,19,19,20,18,20,20,19,19,20,18
"Wesley College",14,14,15,15,15,14,15,16,16,,,,,
"University of South Carolina-Salkehatchie",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"University of the Virgin Islands",14,14,,15,15,16,15,14,13,13,14,13,14,14
"Webber International University",14,16,17,17,17,16,17,17,17,17,18,17,16,16
"Metropolitan State University of Denver",14,17,17,17,17,18,18,18,18,18,18,18,18,17
"Johnson C Smith University",13,14,14,14,15,15,15,15,15,15,16,19,19,19
"Livingstone College",13,14,13,13,13,12,13,13,14,13,13,13,13,12
"Virginia Union University",13,14,15,15,,14,14,13,14,13,,,,
"Fisher College",13,,,,,,,,15,17,,,,
"Mississippi Valley State University",13,16,15,16,15,16,15,15,15,15,15,16,15,15
"Saint Augustine's University",12,13,13,13,12,13,14,13,14,,15,12,13,13
"Visible Music College",12,15,14,13,18,16,17,17,18,16,18,17,16,
"Boston Baptist College",10,16,15,16,13,18,,,,,20,,13,15
"UPMC Mercy School of Nursing",,,,,,,24,,,,,18,19,18
"Warrensburg Area Career Center",,,,,,,,,,,,,,
"Warner Pacific University",,,,,,,,,17,16,13,,,17
"Walnut Hill College",,,,,,,,,,,,,,
"Wake Forest University",,,,,,,,,,,,27,27,
"Wagner College",,,,,,,,22,22,22,23,23,24,24
"Voorhees College",,,,,,,,,,,,,,14
"Virginia Beach Theological Seminary",,,,,,,,,,,,,,
